2023/04/22 11:52:59,0
2023/04/22 11:55:36,3
2023/05/01 00:07:40,0
2023/05/01 00:08:18,18
2023/05/01 00:08:28,0
2023/05/01 00:09:01,25
2023/05/01 00:10:07,87
2023/05/01 00:22:57,6
2023/05/01 00:28:33,6
2023/05/01 00:29:12,4
2023/05/01 00:29:53,1
2023/05/01 00:30:12,6
2023/05/01 00:40:32,1
2023/05/01 00:41:39,0
2023/05/01 00:41:48,0
2023/05/01 00:41:58,0
2023/05/01 00:42:03,0
2023/05/01 00:42:13,0
2023/05/01 00:44:09,2
2023/05/01 00:44:22,3
2023/05/01 00:44:24,0
2023/05/01 00:44:28,0
2023/05/01 00:44:43,0
2023/05/01 00:45:24,2
2023/05/01 00:50:48,13
